id,position,shoot,attack,defense,power
1,1,89,45,46,88
2,5,69,81,80,87
3,2,63,72,84,87
4,2,45,67,81,82
5,5,45,77,81,82
6,3,81,80,70,83
7,6,75,83,69,88
8,3,69,70,83,82
9,4,82,83,54,88
10,4,80,79,52,86
11,4,87,86,70,94
12,1,86,47,46,85
13,5,69,83,79,88
14,2,64,72,81,85
15,2,61,66,78,81
16,5,61,76,75,81
17,6,84,79,63,86
18,3,62,71,77,78
19,3,69,73,69,77
20,4,80,85,53,87
21,4,90,82,65,95
22,4,90,90,49,96
23,1,85,46,47,85
24,2,62,78,81,86
25,2,48,64,81,81
26,2,58,77,78,83
27,5,55,76,78,81
28,3,73,74,72,80
29,6,75,78,76,84
30,3,75,80,70,82
31,3,80,79,58,77
32,4,83,71,65,87
33,4,85,83,57,91
34,1,83,41,47,82
35,5,49,76,77,80
36,2,57,61,81,82
37,2,69,72,79,84
38,5,63,79,83,86
39,6,80,85,58,89
40,6,74,82,54,85
41,3,74,76,79,84
42,6,85,85,65,91
43,6,73,84,59,87
44,4,88,83,53,93
45,1,90,41,49,89
46,2,59,69,78,81
47,2,42,62,83,82
48,2,46,61,80,80
49,2,67,80,82,88
50,3,74,80,73,83
51,6,79,83,78,89
52,3,70,73,81,83
53,3,77,79,64,79
54,6,83,84,63,89
55,4,85,76,62,90
56,1,86,47,45,85
57,2,40,67,79,79
58,2,31,67,77,77
59,2,55,76,82,85
60,5,73,77,79,84
61,3,70,78,76,83
62,3,64,80,71,80
63,3,66,78,82,84
64,6,77,83,60,87
65,4,82,89,55,90
66,4,82,66,59,85
67,1,82,45,47,82
68,2,60,75,75,80
69,2,40,59,77,76
70,2,60,69,83,85
71,5,60,74,71,78
72,3,70,75,75,81
73,3,70,77,76,82
74,6,72,81,70,85
75,4,82,85,64,89
76,4,82,81,67,89
77,4,80,78,71,87
78,1,88,42,45,87
79,5,63,76,79,83
80,2,65,70,81,84
81,2,58,67,80,82
82,5,57,77,76,82
83,3,63,69,82,80
84,3,71,80,79,85
85,6,80,78,71,85
86,6,82,83,57,88
87,6,84,82,57,87
88,4,89,77,64,93
89,1,80,40,40,79
90,5,51,78,74,81
91,2,57,63,79,80
92,2,58,73,77,81
93,2,41,65,79,79
94,3,66,68,71,75
95,3,75,76,69,80
96,6,78,83,65,88
97,6,73,89,45,89
98,3,61,67,72,74
99,4,84,82,58,90
100,1,85,41,49,84
101,5,65,80,82,87
102,2,44,62,82,81
103,2,46,61,85,83
104,5,64,82,78,86
105,6,70,82,70,86
106,3,74,74,79,83
107,3,68,78,82,85
108,4,87,77,53,91
109,4,91,83,65,96
110,4,85,87,51,92
111,1,87,41,47,86
112,2,68,80,77,84
113,2,39,58,79,77
114,2,41,63,80,79
115,2,49,65,80,81
116,3,80,79,81,88
117,3,72,78,68,80
118,3,67,75,74,80
119,6,80,79,65,85
120,4,85,71,54,88
121,4,81,82,65,88
122,1,88,46,44,87
123,2,42,72,72,75
124,2,56,69,84,86
125,2,34,59,78,76
126,3,77,81,71,83
127,5,67,77,75,82
128,3,63,76,73,79
129,3,70,74,78,82
130,4,75,83,44,82
131,4,77,70,57,82
132,4,75,80,57,82
133,1,82,45,48,82
134,2,41,49,77,74
135,2,18,59,84,79
136,2,79,81,77,85
137,5,70,76,79,83
138,3,72,75,78,83
139,3,63,69,79,78
140,6,75,80,62,84
141,6,72,78,53,81
142,4,85,71,54,88
143,4,76,79,50,82
144,1,91,48,48,90
145,5,67,80,75,84
146,2,50,70,83,84
147,2,58,71,81,84
148,5,73,81,77,86
149,3,81,74,80,85
150,6,85,81,57,87
151,6,86,84,52,89
152,6,75,83,63,87
153,6,82,77,60,83
154,4,89,80,62,94
155,1,81,44,48,81
156,5,69,76,80,84
157,2,39,68,78,79
158,2,37,64,74,75
159,3,50,74,71,74
160,6,71,81,60,84
161,6,69,78,45,80
162,3,71,78,69,80
163,4,68,81,55,76
164,4,86,84,55,92
165,4,82,70,54,86
166,1,89,40,42,87
167,5,71,82,72,85
168,2,56,72,81,84
169,5,76,76,80,84
170,2,38,71,79,80
171,6,80,82,74,88
172,6,76,83,59,87
173,3,60,80,72,80
174,4,79,83,64,86
175,4,84,88,51,91
176,4,84,76,63,89
