id,win,draw,defeat,concede,c_win,c_draw,c_defeat,0:0,0:1,1:0,1:1,2:0,0:2,2:1,1:2,2:2,3:0,0:3,3:1,3:2,1:3,2:3,3:3,4:0,4:1,4:2,4:3,4:4,3:4,2:4,1:4,0:4,other
1&2,2.51,2.48,1.59,0,0,0,0,31.81,11.76,17.28,5.2,20,12.17,7.03,5.71,6.63,53.84,19.44,18.18,18.18,10.52,14,36.84,280,155.55,127.27,700,700,200,41.17,60.86,63.63,155.55
1&3,1.36,2.66,3.11,0,0,0,0,22.22,14,9.72,5.46,8.23,26.41,5.22,8.69,7.9,15.73,87.5,11.02,11.86,25.45,29.16,48.27,45.16,38.88,70,155.55,1400,700,280,200,466.66,116.66
1&4,2.02,2.53,1.85,0,0,0,0,28,12.06,15.55,5.51,14.58,15.38,5.93,6.06,6.57,35,28,14.73,14.43,13.33,17.28,38.88,155.55,100,233.33,155.55,2000,100,51.85,51.85,175,280
1&5,1.74,2.43,2.25,0,0,0,0,19.44,10.93,9.52,4.84,11.66,13.33,6.06,7.1,7.32,22.95,40,14,17.28,25,19.44,58.33,116.66,107.69,56,233.33,2000,1400,175,127.27,200,175
1&6,1.48,2.43,2.92,0,0,0,0,21.53,12.84,9.92,4.98,8.8,18.91,5.03,7.86,7.07,21.53,58.33,10,17.5,32.55,35.89,45.16,127.27,38.88,77.77,233.33,1400,466.66,1400,200,1400,127.27
1&7,1.25,2.82,3.58,0,0,0,0,22.58,15.05,8.86,6.03,8.43,32.55,4.63,10,7.77,13.59,107.69,8.28,15.38,42.42,27.45,63.63,53.84,29.78,50,127.27,2000,2000,155.55,280,466.66,107.69
1&8,2.52,2.37,1.63,0,0,0,0,17.07,10.6,11.96,4.87,16.66,9.85,7.21,5.53,7.32,100,21.53,20,25.45,12.84,17.72,48.27,466.66,280,127.27,1400,2000,233.33,50,60.86,107.69,200
1&9,1.22,3.05,3.48,0,0,0,0,43.75,20,10.76,6.93,9.15,25.45,4.71,9.39,7.6,12.61,93.33,7.9,11.66,42.42,23.33,34.14,35.89,30.43,37.83,107.69,2000,233.33,280,280,350,87.5
1&10,1.47,2.73,2.61,0,0,0,0,24.13,13.72,8.18,5.4,8.58,18.42,4.92,7.32,7.9,22.95,58.33,10.93,19.44,21.53,23.33,77.77,70,56,93.33,280,2000,1400,233.33,155.55,700,175
1&11,1.53,2.68,2.47,0,0,0,0,25.92,10.52,8.75,5.36,10.21,20.89,5.73,7.73,7.56,18.42,42.42,11.57,15.38,19.44,25.92,66.66,87.5,48.27,58.33,233.33,2000,466.66,175,107.69,700,155.55
